Nível Territorial (Código),Nível Territorial,Valor,code_state,Unidade da Federação,Ano,Variável,Religião,Sexo,Cor ou raça
3,Unidade da Federação,87074,11,Rondônia,2022,Pessoas de 10 anos ou mais de idade,Católica,Homens,Branca
3,Unidade da Federação,28078,11,Rondônia,2022,Pessoas de 10 anos ou mais de idade,Católica,Homens,Preta
3,Unidade da Federação,843,11,Rondônia,2022,Pessoas de 10 anos ou mais de idade,Católica,Homens,Amarela
3,Unidade da Federação,160381,11,Rondônia,2022,Pessoas de 10 anos ou mais de idade,Católica,Homens,Parda
3,Unidade da Federação,1467,11,Rondônia,2022,Pessoas de 10 anos ou mais de idade,Católica,Homens,Indígena
3,Unidade da Federação,90639,11,Rondônia,2022,Pessoas de 10 anos ou mais de idade,Católica,Mulheres,Branca
3,Unidade da Federação,22118,11,Rondônia,2022,Pessoas de 10 anos ou mais de idade,Católica,Mulheres,Preta
3,Unidade da Federação,789,11,Rondônia,2022,Pessoas de 10 anos ou mais de idade,Católica,Mulheres,Amarela
3,Unidade da Federação,158728,11,Rondônia,2022,Pessoas de 10 anos ou mais de idade,Católica,Mulheres,Parda
3,Unidade da Federação,1552,11,Rondônia,2022,Pessoas de 10 anos ou mais de idade,Católica,Mulheres,Indígena
3,Unidade da Federação,73638,11,Rondônia,2022,Pessoas de 10 anos ou mais de idade,Evangélicas,Homens,Branca
3,Unidade da Federação,26771,11,Rondônia,2022,Pessoas de 10 anos ou mais de idade,Evangélicas,Homens,Preta
3,Unidade da Federação,620,11,Rondônia,2022,Pessoas de 10 anos ou mais de idade,Evangélicas,Homens,Amarela
3,Unidade da Federação,153646,11,Rondônia,2022,Pessoas de 10 anos ou mais de idade,Evangélicas,Homens,Parda
3,Unidade da Federação,3373,11,Rondônia,2022,Pessoas de 10 anos ou mais de idade,Evangélicas,Homens,Indígena
3,Unidade da Federação,87362,11,Rondônia,2022,Pessoas de 10 anos ou mais de idade,Evangélicas,Mulheres,Branca
3,Unidade da Federação,25742,11,Rondônia,2022,Pessoas de 10 anos ou mais de idade,Evangélicas,Mulheres,Preta
3,Unidade da Federação,685,11,Rondônia,2022,Pessoas de 10 anos ou mais de idade,Evangélicas,Mulheres,Amarela
3,Unidade da Federação,179188,11,Rondônia,2022,Pessoas de 10 anos ou mais de idade,Evangélicas,Mulheres,Parda
3,Unidade da Federação,3441,11,Rondônia,2022,Pessoas de 10 anos ou mais de idade,Evangélicas,Mulheres,Indígena
3,Unidade da Federação,1662,11,Rondônia,2022,Pessoas de 10 anos ou mais de idade,Espírita,Homens,Branca
3,Unidade da Federação,275,11,Rondônia,2022,Pessoas de 10 anos ou mais de idade,Espírita,Homens,Preta
3,Unidade da Federação,25,11,Rondônia,2022,Pessoas de 10 anos ou mais de idade,Espírita,Homens,Amarela
3,Unidade da Federação,1275,11,Rondônia,2022,Pessoas de 10 anos ou mais de idade,Espírita,Homens,Parda
3,Unidade da Federação,16,11,Rondônia,2022,Pessoas de 10 anos ou mais de idade,Espírita,Homens,Indígena
3,Unidade da Federação,1964,11,Rondônia,2022,Pessoas de 10 anos ou mais de idade,Espírita,Mulheres,Branca
3,Unidade da Federação,213,11,Rondônia,2022,Pessoas de 10 anos ou mais de idade,Espírita,Mulheres,Preta
